Model,Accuracy,Precision (1),Recall (1),F1-Score (1),Precision (0),Recall (0),F1-Score (0)
LGBM (train1),0.78,0.45,0.6,0.51,0.89,0.82,0.85
XGBoost (train1),0.78,0.45,0.51,0.48,0.88,0.85,0.86
SVC (train1),0.74,0.4,0.57,0.47,0.88,0.79,0.83
Random Forest (train2),0.81,0.51,0.44,0.47,0.87,0.9,0.88
SVC (train2),0.72,0.37,0.62,0.46,0.89,0.74,0.81
CatBoost (train2),0.82,0.57,0.36,0.44,0.86,0.93,0.89
XGBoost (train2),0.81,0.51,0.38,0.43,0.86,0.91,0.88
CatBoost (train1),0.83,0.61,0.33,0.43,0.85,0.95,0.9
LightGBM (train2),0.82,0.55,0.35,0.43,0.85,0.93,0.89
Logistic Regression (train2),0.66,0.31,0.62,0.42,0.88,0.67,0.76
Logistic Regression (train1),0.65,0.31,0.63,0.41,0.88,0.66,0.75
Random Forest (train1),0.83,0.66,0.29,0.4,0.85,0.96,0.9
