iter	Passed	Remaining
0	4	4327
1	8	4033
2	11	3902
3	15	3817
4	18	3747
5	22	3769
6	26	3741
7	29	3690
8	33	3663
9	36	3654
10	40	3656
11	43	3622
12	47	3599
13	51	3614
14	55	3612
15	58	3601
16	61	3582
17	65	3574
18	68	3560
19	72	3532
20	75	3525
21	78	3508
22	82	3491
23	85	3497
24	89	3504
25	93	3509
26	97	3496
27	100	3488
28	103	3477
29	107	3473
30	110	3460
31	114	3465
32	118	3459
33	121	3453
34	126	3494
35	130	3493
36	134	3495
37	137	3484
38	141	3493
39	144	3478
40	148	3470
41	151	3460
42	155	3452
43	159	3460
44	163	3463
45	166	3456
46	170	3448
47	173	3443
48	176	3433
49	180	3425
50	183	3419
51	187	3409
52	190	3404
53	193	3393
54	197	3388
55	200	3383
56	204	3375
57	207	3374
58	210	3364
59	214	3357
60	217	3347
61	221	3346
62	225	3346
63	228	3338
64	231	3334
65	235	3327
66	238	3323
67	241	3315
68	245	3311
69	249	3308
70	252	3301
71	256	3300
72	259	3292
73	262	3284
74	266	3281
75	269	3275
76	273	3277
77	276	3272
78	280	3267
79	283	3260
80	286	3255
81	290	3252
82	294	3248
83	297	3246
84	300	3239
85	304	3240
86	308	3238
87	312	3235
88	315	3231
89	318	3225
90	322	3223
91	326	3218
92	329	3211
93	332	3205
94	335	3198
95	339	3194
96	342	3190
97	346	3188
98	350	3188
99	354	3186
100	357	3180
101	361	3178
102	364	3174
103	367	3170
104	371	3165
105	374	3159
106	378	3157
107	381	3151
108	385	3149
109	388	3145
110	392	3141
111	395	3138
112	399	3135
113	402	3130
114	406	3128
115	409	3121
116	413	3120
117	416	3116
118	421	3116
119	424	3112
120	428	3109
121	431	3103
122	434	3098
123	438	3097
124	442	3094
125	446	3093
126	449	3088
127	453	3086
128	456	3080
129	459	3076
130	463	3073
131	466	3067
132	470	3066
133	473	3060
134	477	3058
135	480	3053
136	483	3048
137	487	3045
138	490	3039
139	494	3036
140	497	3032
141	501	3028
142	504	3026
143	508	3020
144	511	3016
145	514	3011
146	518	3006
147	521	3002
148	525	2999
149	528	2996
150	532	2992
151	535	2989
152	539	2985
153	543	2983
154	546	2979
155	550	2975
156	553	2970
157	556	2966
158	560	2963
159	563	2958
160	567	2956
161	570	2953
162	574	2948
163	577	2945
164	581	2942
165	585	2939
166	588	2937
167	592	2934
168	595	2930
169	599	2925
170	603	2923
171	606	2918
172	609	2914
173	612	2909
174	616	2907
175	620	2903
176	623	2899
177	626	2894
178	629	2889
179	633	2885
180	636	2882
181	640	2879
182	644	2876
183	647	2872
184	651	2870
185	654	2865
186	657	2860
187	661	2857
188	664	2852
189	668	2849
190	671	2844
191	674	2839
192	678	2837
193	681	2833
194	685	2829
195	688	2826
196	692	2822
197	695	2817
198	698	2813
199	702	2810
200	705	2806
201	709	2803
202	712	2798
203	716	2795
204	720	2792
205	723	2788
206	726	2784
207	730	2779
208	733	2776
209	737	2774
210	741	2771
211	744	2766
212	747	2762
213	750	2758
214	754	2753
215	757	2749
216	761	2746
217	764	2742
218	768	2738
219	771	2734
220	775	2731
221	778	2727
222	782	2725
223	785	2722
224	789	2718
225	792	2714
226	795	2710
227	799	2705
228	803	2703
229	806	2699
230	810	2697
231	813	2692
232	817	2690
233	820	2686
234	824	2683
235	827	2679
236	830	2675
237	834	2672
238	837	2667
239	841	2664
240	844	2660
241	848	2658
242	851	2653
243	855	2649
244	858	2646
245	862	2642
246	865	2639
247	869	2635
248	872	2631
249	875	2627
250	879	2623
251	883	2621
252	886	2616
253	889	2613
254	893	2609
255	896	2605
256	900	2602
257	903	2598
258	906	2594
259	910	2590
260	913	2586
261	917	2584
262	920	2580
263	924	2576
264	927	2573
265	932	2571
266	935	2567
267	938	2563
268	941	2559
269	945	2555
270	948	2552
271	952	2548
272	955	2545
273	959	2541
274	962	2537
275	966	2535
276	969	2531
277	973	2527
278	976	2523
279	979	2518
280	982	2514
281	986	2510
282	989	2507
283	993	2505
284	997	2501
285	1000	2497
286	1003	2493
287	1007	2490
288	1010	2486
289	1014	2482
290	1017	2479
291	1020	2475
292	1024	2471
293	1027	2466
294	1030	2462
295	1034	2459
296	1037	2454
297	1040	2451
298	1044	2448
299	1047	2444
300	1050	2440
301	1053	2435
302	1057	2432
303	1060	2428
304	1064	2425
305	1068	2422
306	1071	2418
307	1074	2415
308	1078	2411
309	1081	2408
310	1085	2404
311	1088	2400
312	1091	2396
313	1095	2393
314	1098	2389
315	1101	2384
316	1105	2381
317	1108	2377
318	1112	2374
319	1115	2371
320	1118	2366
321	1122	2364
322	1126	2360
323	1129	2356
324	1132	2353
325	1136	2349
326	1140	2346
327	1143	2342
328	1147	2340
329	1150	2336
330	1154	2332
331	1157	2328
332	1160	2325
333	1164	2322
334	1168	2318
335	1171	2315
336	1175	2311
337	1178	2308
338	1182	2305
339	1185	2302
340	1189	2298
341	1192	2295
342	1196	2292
343	1200	2289
344	1203	2285
345	1207	2282
346	1210	2278
347	1214	2274
348	1217	2271
349	1221	2268
350	1225	2265
351	1228	2261
352	1232	2258
353	1235	2254
354	1239	2252
355	1243	2249
356	1246	2245
357	1249	2241
358	1253	2238
359	1256	2234
360	1260	2230
361	1264	2227
362	1267	2224
363	1270	2220
364	1273	2216
365	1277	2212
366	1281	2209
367	1284	2206
368	1288	2202
369	1291	2198
370	1294	2195
371	1298	2191
372	1301	2188
373	1305	2185
374	1309	2181
375	1312	2178
376	1315	2174
377	1319	2170
378	1322	2166
379	1325	2163
380	1329	2159
381	1332	2156
382	1336	2152
383	1339	2149
384	1343	2145
385	1346	2141
386	1349	2138
387	1353	2134
388	1356	2130
389	1359	2127
390	1363	2123
391	1366	2120
392	1370	2116
393	1373	2112
394	1377	2109
395	1380	2105
396	1384	2102
397	1387	2099
398	1391	2095
399	1394	2091
400	1397	2088
401	1401	2084
402	1404	2081
403	1408	2077
404	1411	2074
405	1415	2070
406	1418	2066
407	1421	2062
408	1425	2060
409	1428	2056
410	1432	2052
411	1436	2049
412	1439	2046
413	1443	2042
414	1446	2038
415	1449	2035
416	1453	2031
417	1456	2028
418	1460	2025
419	1464	2021
420	1467	2018
421	1471	2015
422	1474	2011
423	1478	2007
424	1481	2004
425	1485	2001
426	1488	1997
427	1492	1994
428	1495	1990
429	1498	1986
430	1502	1982
431	1505	1979
432	1508	1975
433	1512	1971
434	1515	1968
435	1519	1965
436	1522	1961
437	1525	1957
438	1529	1954
439	1533	1951
440	1536	1947
441	1540	1944
442	1543	1940
443	1547	1937
444	1550	1934
445	1553	1930
446	1557	1926
447	1561	1924
448	1564	1920
449	1568	1916
450	1571	1913
451	1575	1910
452	1579	1907
453	1582	1903
454	1585	1899
455	1589	1896
456	1592	1892
457	1596	1889
458	1600	1886
459	1603	1882
460	1607	1879
461	1610	1875
462	1614	1872
463	1617	1868
464	1621	1865
465	1625	1862
466	1628	1858
467	1631	1855
468	1634	1851
469	1638	1847
470	1642	1844
471	1646	1842
472	1651	1839
473	1656	1837
474	1660	1834
475	1664	1831
476	1667	1828
477	1670	1824
478	1674	1821
479	1677	1817
480	1681	1814
481	1685	1810
482	1688	1807
483	1692	1804
484	1695	1800
485	1699	1796
486	1702	1793
487	1706	1790
488	1710	1787
489	1713	1783
490	1716	1779
491	1720	1776
492	1724	1773
493	1727	1769
494	1730	1765
495	1734	1762
496	1737	1758
497	1740	1754
498	1743	1750
499	1747	1747
500	1751	1744
501	1754	1740
502	1757	1736
503	1761	1733
504	1764	1729
505	1768	1726
506	1772	1723
507	1776	1720
508	1779	1716
509	1783	1713
510	1787	1710
511	1790	1706
512	1794	1703
513	1797	1699
514	1801	1696
515	1805	1693
516	1809	1690
517	1812	1686
518	1816	1683
519	1819	1679
520	1823	1676
521	1826	1672
522	1830	1669
523	1834	1666
524	1837	1662
525	1841	1659
526	1844	1655
527	1848	1652
528	1851	1648
529	1854	1644
530	1858	1641
531	1861	1637
532	1865	1634
533	1868	1630
534	1872	1627
535	1876	1624
536	1879	1620
537	1883	1617
538	1886	1613
539	1890	1610
540	1893	1606
541	1897	1603
542	1900	1599
543	1903	1595
544	1907	1592
545	1911	1589
546	1914	1585
547	1918	1582
548	1921	1578
549	1925	1575
550	1928	1571
551	1931	1567
552	1934	1563
553	1938	1560
554	1941	1556
555	1945	1553
556	1949	1550
557	1952	1546
558	1956	1543
559	1959	1539
560	1963	1536
561	1966	1532
562	1969	1528
563	1973	1525
564	1976	1522
565	1980	1518
566	1983	1514
567	1987	1511
568	1991	1508
569	1994	1504
570	1998	1501
571	2001	1497
572	2005	1494
573	2008	1490
574	2012	1487
575	2016	1484
576	2019	1480
577	2022	1476
578	2026	1473
579	2029	1469
580	2033	1466
581	2036	1462
582	2040	1459
583	2043	1455
584	2046	1452
585	2051	1449
586	2054	1445
587	2058	1442
588	2062	1438
589	2065	1435
590	2068	1431
591	2072	1428
592	2075	1424
593	2079	1421
594	2082	1417
595	2086	1414
596	2089	1410
597	2092	1406
598	2096	1403
599	2099	1399
600	2103	1396
601	2107	1393
602	2110	1389
603	2113	1385
604	2117	1382
605	2121	1379
606	2125	1375
607	2128	1372
608	2131	1368
609	2135	1365
610	2138	1361
611	2141	1357
612	2145	1354
613	2148	1350
614	2152	1347
615	2156	1344
616	2159	1340
617	2163	1337
618	2166	1333
619	2170	1330
620	2173	1326
621	2176	1322
622	2180	1319
623	2183	1315
624	2187	1312
625	2190	1308
626	2194	1305
627	2197	1301
628	2201	1298
629	2205	1295
630	2208	1291
631	2211	1287
632	2214	1284
633	2218	1280
634	2221	1277
635	2225	1273
636	2228	1270
637	2232	1266
638	2235	1263
639	2239	1259
640	2242	1256
641	2246	1252
642	2249	1249
643	2253	1245
644	2257	1242
645	2260	1238
646	2264	1235
647	2267	1231
648	2271	1228
649	2274	1224
650	2278	1221
651	2281	1217
652	2285	1214
653	2288	1210
654	2291	1207
655	2296	1204
656	2299	1200
657	2303	1197
658	2306	1193
659	2310	1190
660	2313	1186
661	2317	1183
662	2320	1179
663	2324	1176
664	2327	1172
665	2330	1168
666	2334	1165
667	2337	1161
668	2340	1158
669	2344	1154
670	2348	1151
671	2351	1147
672	2355	1144
673	2358	1140
674	2362	1137
675	2365	1133
676	2369	1130
677	2373	1127
678	2377	1123
679	2380	1120
680	2384	1116
681	2387	1113
682	2391	1109
683	2394	1106
684	2397	1102
685	2401	1099
686	2404	1095
687	2408	1092
688	2412	1088
689	2415	1085
690	2418	1081
691	2421	1077
692	2425	1074
693	2429	1071
694	2433	1067
695	2436	1064
696	2439	1060
697	2442	1056
698	2446	1053
699	2450	1050
700	2453	1046
701	2457	1043
702	2460	1039
703	2463	1035
704	2467	1032
705	2470	1028
706	2474	1025
707	2477	1021
708	2481	1018
709	2484	1014
710	2488	1011
711	2492	1008
712	2495	1004
713	2498	1000
714	2502	997
715	2505	993
716	2509	990
717	2512	986
718	2516	983
719	2519	979
720	2523	976
721	2527	973
722	2531	969
723	2534	966
724	2538	962
725	2541	959
726	2545	955
727	2548	952
728	2552	948
729	2555	945
730	2559	941
731	2562	938
732	2565	934
733	2569	931
734	2573	927
735	2576	924
736	2580	920
737	2583	917
738	2587	913
739	2590	910
740	2594	906
741	2597	903
742	2601	899
743	2604	896
744	2608	892
745	2611	889
746	2615	885
747	2618	882
748	2621	878
749	2624	874
750	2628	871
751	2631	867
752	2634	864
753	2638	860
754	2642	857
755	2645	853
756	2649	850
757	2653	847
758	2656	843
759	2660	840
760	2663	836
761	2667	833
762	2671	829
763	2674	826
764	2677	822
765	2681	819
766	2684	815
767	2688	812
768	2692	808
769	2695	805
770	2699	801
771	2702	798
772	2706	794
773	2710	791
774	2713	787
775	2717	784
776	2720	780
777	2723	777
778	2727	773
779	2730	770
780	2734	766
781	2737	763
782	2740	759
783	2744	756
784	2747	752
785	2751	749
786	2754	745
787	2758	742
788	2762	738
789	2765	735
790	2768	731
791	2772	728
792	2776	724
793	2779	721
794	2782	717
795	2786	714
796	2789	710
797	2793	707
798	2796	703
799	2800	700
800	2803	696
801	2807	693
802	2810	689
803	2814	686
804	2817	682
805	2821	679
806	2825	675
807	2828	672
808	2832	668
809	2835	665
810	2838	661
811	2842	658
812	2846	654
813	2849	651
814	2853	647
815	2856	644
816	2860	640
817	2863	637
818	2867	633
819	2871	630
820	2874	626
821	2877	623
822	2881	619
823	2884	616
824	2888	612
825	2891	609
826	2895	605
827	2898	602
828	2902	598
829	2906	595
830	2909	591
831	2913	588
832	2916	584
833	2919	581
834	2922	577
835	2926	574
836	2929	570
837	2933	567
838	2936	563
839	2940	560
840	2943	556
841	2947	553
842	2950	549
843	2953	545
844	2957	542
845	2960	538
846	2964	535
847	2967	531
848	2971	528
849	2975	525
850	2979	521
851	2983	518
852	2986	514
853	2989	511
854	2993	507
855	2996	504
856	3000	500
857	3003	497
858	3006	493
859	3010	490
860	3014	486
861	3017	483
862	3020	479
863	3024	476
864	3027	472
865	3030	468
866	3034	465
867	3037	461
868	3041	458
869	3044	454
870	3047	451
871	3051	447
872	3054	444
873	3057	440
874	3061	437
875	3064	433
876	3067	430
877	3071	426
878	3074	423
879	3078	419
880	3081	416
881	3084	412
882	3088	409
883	3091	405
884	3095	402
885	3099	398
886	3102	395
887	3106	391
888	3109	388
889	3113	384
890	3116	381
891	3120	377
892	3123	374
893	3127	370
894	3130	367
895	3134	363
896	3137	360
897	3140	356
898	3144	353
899	3147	349
900	3151	346
901	3154	342
902	3158	339
903	3162	335
904	3165	332
905	3169	328
906	3172	325
907	3175	321
908	3179	318
909	3182	314
910	3185	311
911	3189	307
912	3192	304
913	3196	300
914	3199	297
915	3203	293
916	3206	290
917	3210	286
918	3213	283
919	3217	279
920	3220	276
921	3224	272
922	3227	269
923	3230	265
924	3233	262
925	3237	258
926	3240	255
927	3244	251
928	3247	248
929	3251	244
930	3254	241
931	3258	237
932	3262	234
933	3265	230
934	3269	227
935	3272	223
936	3276	220
937	3279	216
938	3283	213
939	3286	209
940	3289	206
941	3293	202
942	3296	199
943	3300	195
944	3303	192
945	3307	188
946	3310	185
947	3314	181
948	3317	178
949	3321	174
950	3325	171
951	3328	167
952	3331	164
953	3335	160
954	3338	157
955	3341	153
956	3345	150
957	3348	146
958	3351	143
959	3355	139
960	3359	136
961	3363	132
962	3366	129
963	3370	125
964	3373	122
965	3377	118
966	3380	115
967	3384	111
968	3387	108
969	3391	104
970	3394	101
971	3397	97
972	3401	94
973	3404	90
974	3408	87
975	3412	83
976	3415	80
977	3419	76
978	3422	73
979	3426	69
980	3429	66
981	3433	62
982	3436	59
983	3439	55
984	3443	52
985	3447	48
986	3450	45
987	3453	41
988	3457	38
989	3460	34
990	3464	31
991	3467	27
992	3471	24
993	3474	20
994	3477	17
995	3481	13
996	3485	10
997	3488	6
998	3491	3
999	3495	0
