iter	Logloss
0	0.6637253794
1	0.6381899112
2	0.617818448
3	0.6005298679
4	0.5870939653
5	0.5750997289
6	0.5650856072
7	0.5571366298
8	0.5480109852
9	0.5372942133
10	0.5309220747
11	0.5235096707
12	0.5167215434
13	0.5123543827
14	0.5065693524
15	0.4991850539
16	0.4964546421
17	0.4929380604
18	0.4903177091
19	0.4847393939
20	0.4803212294
21	0.4779966792
22	0.4758510509
23	0.4735988093
24	0.4683547033
25	0.4635051657
26	0.4618286388
27	0.4600973574
28	0.4585681138
29	0.4546407391
30	0.4512665902
31	0.4497156655
32	0.4478190253
33	0.4465415411
34	0.4453329469
35	0.4438055567
36	0.4383566409
37	0.4357301287
38	0.4345901328
39	0.4294754195
40	0.4273815741
41	0.4263273801
42	0.4251917938
43	0.4225400632
44	0.4211055484
45	0.4187910097
46	0.4165380807
47	0.4156556118
48	0.4146156718
49	0.4137512278
50	0.4118971737
51	0.4109154108
52	0.4089448812
53	0.4065159905
54	0.4056207153
55	0.4048970654
56	0.4038065246
57	0.4018305209
58	0.400264758
59	0.3994729389
60	0.3987387604
61	0.3981512952
62	0.397180145
63	0.3965445595
64	0.3958279295
65	0.3939337653
66	0.3930146329
67	0.3916002847
68	0.390966509
69	0.3899281207
70	0.3895054469
71	0.3879214311
72	0.3875072751
73	0.3870382148
74	0.3863009178
75	0.3855450696
76	0.3847907909
77	0.3842369716
78	0.3833465737
79	0.381435706
80	0.380900747
81	0.3804706724
82	0.3799034713
83	0.3791454796
84	0.3785609644
85	0.377966708
86	0.377521227
87	0.3745265932
88	0.3739600145
89	0.3715704438
90	0.3703075065
91	0.3693947365
92	0.3690862347
93	0.3684770025
94	0.3681208619
95	0.3674637178
96	0.3653450284
97	0.3650014745
98	0.3646094465
99	0.3642256222
100	0.3637344736
101	0.3631513945
102	0.3603028397
103	0.3568575295
104	0.3553013638
105	0.3544957313
106	0.3540324269
107	0.3518914972
108	0.3484826518
109	0.3479443681
110	0.3450173955
111	0.3445591217
112	0.3432916107
113	0.3427363237
114	0.341583608
115	0.341191841
116	0.3371562041
117	0.3349111101
