iter	Passed	Remaining
0	3	3751
1	7	3914
2	11	3878
3	15	3807
4	18	3712
5	22	3749
6	26	3694
7	29	3712
8	33	3667
9	36	3631
10	40	3606
11	43	3578
12	47	3569
13	50	3542
14	53	3537
15	57	3547
16	61	3529
17	64	3539
18	68	3520
19	72	3530
20	75	3529
21	79	3547
22	83	3552
23	87	3556
24	91	3566
25	94	3552
26	98	3543
27	101	3527
28	105	3518
29	108	3506
30	112	3506
31	116	3518
32	119	3504
33	123	3497
34	126	3485
35	130	3486
36	133	3486
37	137	3481
38	140	3468
39	143	3454
40	147	3447
41	150	3438
42	154	3438
43	157	3426
44	161	3419
45	164	3416
46	168	3410
47	171	3405
48	174	3395
49	178	3386
50	182	3391
51	185	3384
52	189	3386
53	192	3375
54	196	3375
55	200	3376
56	204	3379
57	207	3376
58	211	3368
59	215	3369
60	218	3360
61	221	3355
62	225	3347
63	228	3345
64	231	3336
65	235	3329
66	239	3331
67	242	3324
68	246	3325
69	250	3325
70	253	3321
71	257	3315
72	260	3312
73	263	3302
74	267	3294
75	270	3293
76	274	3287
77	277	3284
78	281	3285
79	285	3279
80	289	3286
81	293	3283
82	297	3283
83	300	3278
84	304	3273
85	307	3267
86	311	3264
87	314	3263
88	318	3258
89	322	3256
90	325	3250
91	329	3251
92	332	3244
93	336	3241
94	340	3240
95	343	3235
96	346	3228
97	350	3222
98	354	3222
99	357	3215
100	360	3209
101	364	3204
102	367	3199
103	370	3195
104	374	3188
105	377	3183
106	381	3181
107	384	3177
108	388	3174
109	391	3168
110	395	3168
111	398	3161
112	402	3156
113	405	3151
114	408	3145
115	412	3145
116	416	3140
117	419	3135
118	422	3130
119	426	3125
120	429	3123
121	433	3117
122	436	3113
123	440	3110
124	443	3107
125	447	3106
126	451	3101
127	454	3095
128	457	3089
129	461	3089
130	464	3084
131	468	3080
132	472	3078
133	475	3075
134	479	3071
135	482	3065
136	485	3061
137	489	3059
138	493	3055
139	496	3050
140	500	3048
141	503	3045
142	507	3042
143	511	3038
144	514	3032
145	517	3028
146	520	3022
147	524	3019
148	528	3016
149	531	3011
150	534	3007
151	538	3002
152	541	2997
153	545	2996
154	549	2994
155	552	2990
156	556	2986
157	559	2982
158	563	2980
159	567	2977
160	570	2972
161	573	2968
162	577	2965
163	580	2960
164	584	2956
165	587	2950
166	590	2947
167	594	2945
168	598	2941
169	601	2936
170	604	2931
171	608	2928
172	611	2923
173	614	2918
174	618	2918
175	622	2913
176	626	2911
177	629	2906
178	633	2903
179	636	2899
180	639	2894
181	643	2891
182	646	2886
183	650	2884
184	653	2879
185	657	2875
186	660	2870
187	663	2866
188	667	2864
189	670	2860
190	674	2856
191	677	2852
192	681	2848
193	684	2844
194	688	2841
195	691	2837
196	695	2833
197	698	2829
198	702	2827
199	705	2823
200	709	2820
201	712	2816
202	716	2812
203	719	2808
204	723	2805
205	726	2801
206	730	2796
207	733	2792
208	736	2787
209	740	2784
210	743	2779
211	746	2775
212	749	2770
213	752	2765
214	756	2760
215	759	2756
216	762	2752
217	766	2748
218	769	2745
219	773	2741
220	776	2738
221	780	2734
222	783	2731
223	787	2726
224	790	2723
225	794	2721
226	798	2719
227	801	2714
228	805	2711
229	808	2708
230	812	2705
231	816	2702
232	819	2698
233	823	2695
234	826	2690
235	830	2687
236	834	2685
237	837	2680
238	840	2677
239	844	2674
240	848	2671
241	851	2668
242	855	2664
243	858	2660
244	861	2656
245	865	2652
246	868	2648
247	872	2644
248	876	2642
249	879	2639
250	883	2635
251	886	2631
252	890	2628
253	893	2625
254	897	2621
255	900	2617
256	904	2613
257	907	2610
258	910	2606
259	914	2603
260	918	2601
261	922	2598
262	925	2594
263	929	2591
264	932	2587
265	936	2583
266	940	2580
267	943	2576
268	946	2573
269	950	2569
270	953	2565
271	957	2561
272	960	2557
273	964	2555
274	967	2551
275	971	2548
276	975	2544
277	978	2541
278	982	2538
279	985	2533
280	988	2530
281	992	2527
282	996	2523
283	999	2519
284	1002	2515
285	1006	2511
286	1009	2507
287	1013	2504
288	1016	2501
289	1020	2497
290	1023	2494
291	1026	2490
292	1030	2486
293	1033	2482
294	1037	2478
295	1040	2475
296	1044	2471
297	1048	2469
298	1051	2466
299	1055	2461
300	1058	2457
301	1061	2453
302	1064	2449
